StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2022-10-03T13:00:00Z,APXMIDP,2022-10-03,29,173.13,1316.7
2022-10-03T12:30:00Z,APXMIDP,2022-10-03,28,170.63,1527.85
2022-10-03T12:00:00Z,APXMIDP,2022-10-03,27,181.43,1440.05
2022-10-03T11:30:00Z,APXMIDP,2022-10-03,26,225.21,2039.95
2022-10-03T11:00:00Z,APXMIDP,2022-10-03,25,235.21,2097.9
2022-10-03T10:30:00Z,APXMIDP,2022-10-03,24,204.93,1990.8
2022-10-03T10:00:00Z,APXMIDP,2022-10-03,23,212.06,1930.7
2022-10-03T09:30:00Z,APXMIDP,2022-10-03,22,272.37,2749.95
2022-10-03T09:00:00Z,APXMIDP,2022-10-03,21,298.43,2676.6
2022-10-03T08:30:00Z,APXMIDP,2022-10-03,20,310.92,2641.4
2022-10-03T08:00:00Z,APXMIDP,2022-10-03,19,354.36,2321.15
2022-10-03T07:30:00Z,APXMIDP,2022-10-03,18,335.63,2057.65
2022-10-03T07:00:00Z,APXMIDP,2022-10-03,17,346.66,2116.15
2022-10-03T06:30:00Z,APXMIDP,2022-10-03,16,383.57,1998.8
2022-10-03T06:00:00Z,APXMIDP,2022-10-03,15,358.34,1755.1
2022-10-03T05:30:00Z,APXMIDP,2022-10-03,14,281.99,1818.95
2022-10-03T05:00:00Z,APXMIDP,2022-10-03,13,284.68,1365.6
2022-10-03T04:30:00Z,APXMIDP,2022-10-03,12,267.27,867.1
2022-10-03T04:00:00Z,APXMIDP,2022-10-03,11,264.21,811.35
2022-10-03T03:30:00Z,APXMIDP,2022-10-03,10,212.52,1139.35
2022-10-03T03:00:00Z,APXMIDP,2022-10-03,9,229.45,969.0
2022-10-03T02:30:00Z,APXMIDP,2022-10-03,8,203.56,917.8
2022-10-03T02:00:00Z,APXMIDP,2022-10-03,7,222.27,809.7
2022-10-03T01:30:00Z,APXMIDP,2022-10-03,6,227.3,767.85
2022-10-03T01:00:00Z,APXMIDP,2022-10-03,5,221.89,670.85
2022-10-03T00:30:00Z,APXMIDP,2022-10-03,4,219.32,711.4
2022-10-03T00:00:00Z,APXMIDP,2022-10-03,3,206.22,760.0
2022-10-02T23:30:00Z,APXMIDP,2022-10-03,2,203.6,1039.0
2022-10-02T23:00:00Z,APXMIDP,2022-10-03,1,205.61,804.65
2022-10-02T22:30:00Z,APXMIDP,2022-10-02,48,219.19,748.95
2022-10-02T22:00:00Z,APXMIDP,2022-10-02,47,185.17,909.85
2022-10-02T21:30:00Z,APXMIDP,2022-10-02,46,191.52,1821.05
2022-10-02T21:00:00Z,APXMIDP,2022-10-02,45,195.62,1697.9
2022-10-02T20:30:00Z,APXMIDP,2022-10-02,44,194.6,1502.85
2022-10-02T20:00:00Z,APXMIDP,2022-10-02,43,200.42,1588.45
2022-10-02T19:30:00Z,APXMIDP,2022-10-02,42,229.2,1658.45
2022-10-02T19:00:00Z,APXMIDP,2022-10-02,41,250.93,1654.05
2022-10-02T18:30:00Z,APXMIDP,2022-10-02,40,226.25,1433.35
2022-10-02T18:00:00Z,APXMIDP,2022-10-02,39,242.86,1549.9
2022-10-02T17:30:00Z,APXMIDP,2022-10-02,38,242.5,1907.35
2022-10-02T17:00:00Z,APXMIDP,2022-10-02,37,226.8,1864.55
2022-10-02T16:30:00Z,APXMIDP,2022-10-02,36,219.97,2099.4
2022-10-02T16:00:00Z,APXMIDP,2022-10-02,35,188.84,1869.05
2022-10-02T15:30:00Z,APXMIDP,2022-10-02,34,106.23,1774.0
2022-10-02T15:00:00Z,APXMIDP,2022-10-02,33,92.07,1670.85
2022-10-02T14:30:00Z,APXMIDP,2022-10-02,32,66.62,1561.1
2022-10-02T14:00:00Z,APXMIDP,2022-10-02,31,61.72,1654.25
2022-10-02T13:30:00Z,APXMIDP,2022-10-02,30,78.12,1870.45
2022-10-02T13:00:00Z,APXMIDP,2022-10-02,29,82.03,1787.7
2022-10-02T12:30:00Z,APXMIDP,2022-10-02,28,83.86,1891.85
2022-10-02T12:00:00Z,APXMIDP,2022-10-02,27,82.5,1967.3
2022-10-02T11:30:00Z,APXMIDP,2022-10-02,26,83.09,1838.0
2022-10-02T11:00:00Z,APXMIDP,2022-10-02,25,90.07,1670.2
2022-10-02T10:30:00Z,APXMIDP,2022-10-02,24,89.41,1468.7
2022-10-02T10:00:00Z,APXMIDP,2022-10-02,23,100.71,1372.0
2022-10-02T09:30:00Z,APXMIDP,2022-10-02,22,131.32,1539.3
2022-10-02T09:00:00Z,APXMIDP,2022-10-02,21,145.99,1320.65
2022-10-02T08:30:00Z,APXMIDP,2022-10-02,20,147.15,1183.65
2022-10-02T08:00:00Z,APXMIDP,2022-10-02,19,156.52,1181.3
2022-10-02T07:30:00Z,APXMIDP,2022-10-02,18,182.23,929.15
2022-10-02T07:00:00Z,APXMIDP,2022-10-02,17,130.96,1150.55
2022-10-02T06:30:00Z,APXMIDP,2022-10-02,16,136.53,866.05
2022-10-02T06:00:00Z,APXMIDP,2022-10-02,15,126.53,795.1
2022-10-02T05:30:00Z,APXMIDP,2022-10-02,14,118.39,717.3
2022-10-02T05:00:00Z,APXMIDP,2022-10-02,13,107.38,694.05
2022-10-02T04:30:00Z,APXMIDP,2022-10-02,12,69.96,541.8
2022-10-02T04:00:00Z,APXMIDP,2022-10-02,11,33.21,669.35
2022-10-02T03:30:00Z,APXMIDP,2022-10-02,10,27.47,566.7
2022-10-02T03:00:00Z,APXMIDP,2022-10-02,9,27.32,716.45
2022-10-02T02:30:00Z,APXMIDP,2022-10-02,8,27.17,629.7
2022-10-02T02:00:00Z,APXMIDP,2022-10-02,7,40.38,529.0
2022-10-02T01:30:00Z,APXMIDP,2022-10-02,6,68.81,815.45
2022-10-02T01:00:00Z,APXMIDP,2022-10-02,5,77.29,688.4
2022-10-02T00:30:00Z,APXMIDP,2022-10-02,4,108.59,706.8
2022-10-02T00:00:00Z,APXMIDP,2022-10-02,3,97.6,834.5
2022-10-01T23:30:00Z,APXMIDP,2022-10-02,2,113.91,709.95
2022-10-01T23:00:00Z,APXMIDP,2022-10-02,1,114.46,822.8
2022-10-01T22:30:00Z,APXMIDP,2022-10-01,48,167.01,790.15
2022-10-01T22:00:00Z,APXMIDP,2022-10-01,47,164.91,867.45
2022-10-01T21:30:00Z,APXMIDP,2022-10-01,46,191.87,1449.15
2022-10-01T21:00:00Z,APXMIDP,2022-10-01,45,198.36,1538.8
2022-10-01T20:30:00Z,APXMIDP,2022-10-01,44,223.19,1499.95
2022-10-01T20:00:00Z,APXMIDP,2022-10-01,43,236.38,1420.7
2022-10-01T19:30:00Z,APXMIDP,2022-10-01,42,235.47,1958.15
2022-10-01T19:00:00Z,APXMIDP,2022-10-01,41,244.94,1931.35
2022-10-01T18:30:00Z,APXMIDP,2022-10-01,40,246.82,1672.2
2022-10-01T18:00:00Z,APXMIDP,2022-10-01,39,251.1,1654.35
2022-10-01T17:30:00Z,APXMIDP,2022-10-01,38,240.35,1723.4
2022-10-01T17:00:00Z,APXMIDP,2022-10-01,37,229.44,1669.2
2022-10-01T16:30:00Z,APXMIDP,2022-10-01,36,210.24,1272.65
2022-10-01T16:00:00Z,APXMIDP,2022-10-01,35,184.9,1499.75
2022-10-01T15:30:00Z,APXMIDP,2022-10-01,34,87.44,1454.1
2022-10-01T15:00:00Z,APXMIDP,2022-10-01,33,14.38,1281.05
2022-10-01T14:30:00Z,APXMIDP,2022-10-01,32,21.97,1321.8
2022-10-01T14:00:00Z,APXMIDP,2022-10-01,31,13.26,1266.2
2022-10-01T13:30:00Z,APXMIDP,2022-10-01,30,24.13,1402.95
2022-10-01T13:00:00Z,APXMIDP,2022-10-01,29,24.68,1336.95
2022-10-01T12:30:00Z,APXMIDP,2022-10-01,28,25.11,1326.9
2022-10-01T12:00:00Z,APXMIDP,2022-10-01,27,21.14,1326.05
2022-10-01T11:30:00Z,APXMIDP,2022-10-01,26,41.77,1287.55
2022-10-01T11:00:00Z,APXMIDP,2022-10-01,25,50.22,1183.7
2022-10-01T10:30:00Z,APXMIDP,2022-10-01,24,53.24,1161.25
2022-10-01T10:00:00Z,APXMIDP,2022-10-01,23,77.07,1282.25
2022-10-01T09:30:00Z,APXMIDP,2022-10-01,22,107.9,1101.55
2022-10-01T09:00:00Z,APXMIDP,2022-10-01,21,145.66,1200.9
2022-10-01T08:30:00Z,APXMIDP,2022-10-01,20,168.2,1160.2
2022-10-01T08:00:00Z,APXMIDP,2022-10-01,19,183.38,1077.25
2022-10-01T07:30:00Z,APXMIDP,2022-10-01,18,154.87,1100.75
2022-10-01T07:00:00Z,APXMIDP,2022-10-01,17,123.2,1280.8
2022-10-01T06:30:00Z,APXMIDP,2022-10-01,16,177.25,812.05
2022-10-01T06:00:00Z,APXMIDP,2022-10-01,15,159.77,718.5
2022-10-01T05:30:00Z,APXMIDP,2022-10-01,14,54.73,1087.05
2022-10-01T05:00:00Z,APXMIDP,2022-10-01,13,27.46,1020.25
2022-10-01T04:30:00Z,APXMIDP,2022-10-01,12,15.96,1233.65
2022-10-01T04:00:00Z,APXMIDP,2022-10-01,11,20.66,1209.05
2022-10-01T03:30:00Z,APXMIDP,2022-10-01,10,35.69,1413.5
2022-10-01T03:00:00Z,APXMIDP,2022-10-01,9,55.51,1414.9
2022-10-01T02:30:00Z,APXMIDP,2022-10-01,8,77.37,1289.8
2022-10-01T02:00:00Z,APXMIDP,2022-10-01,7,102.35,1254.85
2022-10-01T01:30:00Z,APXMIDP,2022-10-01,6,101.15,857.75
2022-10-01T01:00:00Z,APXMIDP,2022-10-01,5,147.72,1032.25
2022-10-01T00:30:00Z,APXMIDP,2022-10-01,4,144.17,882.7
2022-10-01T00:00:00Z,APXMIDP,2022-10-01,3,124.99,613.7
2022-09-30T23:30:00Z,APXMIDP,2022-10-01,2,124.86,1011.95
2022-09-30T23:00:00Z,APXMIDP,2022-10-01,1,101.85,715.65
2022-10-14T22:30:00Z,APXMIDP,2022-10-14,48,162.59,971.45
2022-10-14T22:00:00Z,APXMIDP,2022-10-14,47,152.26,887.85
2022-10-14T21:30:00Z,APXMIDP,2022-10-14,46,142.84,1361.3
2022-10-14T21:00:00Z,APXMIDP,2022-10-14,45,147.4,1297.85
2022-10-14T20:30:00Z,APXMIDP,2022-10-14,44,137.2,1330.95
2022-10-14T20:00:00Z,APXMIDP,2022-10-14,43,155.32,1538.2
2022-10-14T19:30:00Z,APXMIDP,2022-10-14,42,164.43,1550.4
2022-10-14T19:00:00Z,APXMIDP,2022-10-14,41,174.93,1510.45
2022-10-14T18:30:00Z,APXMIDP,2022-10-14,40,171.6,1584.9
2022-10-14T18:00:00Z,APXMIDP,2022-10-14,39,204.43,1815.8
2022-10-14T17:30:00Z,APXMIDP,2022-10-14,38,228.62,1418.45
2022-10-14T17:00:00Z,APXMIDP,2022-10-14,37,206.08,1573.7
